Temperature,Alpha,Strain4,,Temperature1,Alpha1,Strain1,Alpha2,Strain2,Alpha3,Strain3,1,Temp,rate by OD,monoculture,rate,2,3
12,-1337656176,S18,,12,-7250646480,S18,-9280350600,S18,3847535810,W02,-7250646480,12,0.036343667,S18,5231240040,-9280350600,3847535810
12,-2691448077,S18,,12,-7567495920,S18,-14001566040,S18,553429185,W02,-7567495920,15,0.06417,S18,8570400000,-14001566040,553429185
12,-1670184560,S18,,12,-3357854880,S18,-10439781960,S18,1272272847,W02,-3357854880,18,0.052449333,S18,7163919960,-10439781960,1272272847
12,257146696,S18,,15,-1355148240,S18,-780638520,S18,-632910035,W02,-1355148240,22,0.042995,S18,6029400000,-780638520,-632910035
12,-2323896938,S18,,15,#DIV/0!,S18,-2272503720,S18,-624912797,W02,#DIV/0!,25,0.031808,S18,4686960000,-2272503720,-624912797
12,-3839473414,S18,,15,-933471360,S18,216286080,S18,-348918034,W02,-933471360,28,0.041521,S18,5852520000,216286080,-348918034
15,-12778675,S18,,18,-12048246960,S18,-4611857160,S18,2752971281,W02,-12048246960,12,0.019904,W02,972488000,-4611857160,2752971281
15,-660727302,S18,,18,-12673113720,S18,2083773600,S18,1443511660,W02,-12673113720,15,0.0154,W02,760800000,2083773600,1443511660
15,42606360,S18,,18,-7987811520,S18,-8486565000,S18,2231087464,W02,-7987811520,18,0.011974667,W02,599809349,-8486565000,2231087464
15,-87906436,S18,,22,-2602275240,S18,-755129400,S18,613413593,W02,-2602275240,22,0.01203691,W02,602734770,-755129400,613413593
15,2441572793,S18,,22,-1538400240,S18,264552840,S18,27690005,W02,-1538400240,25,0.011329,W02,569463000,264552840,27690005
15,-1763660604,S18,,22,-548491080,S18,-131414400,S18,452487379,W02,-548491080,28,0.01250441,W02,624707270,-131414400,452487379
18,-685928890,S18,,25,-7478996640,S18,5758792080,S18,5172982622,W02,-7478996640,12,0.017368,W03,1906780000,5758792080,5172982622
18,492326800,S18,,25,-16803995760,S18,7732742280,S18,2592834103,W02,-16803995760,15,0.02684029,W03,2948731900,7732742280,2592834103
18,-1640502180,S18,,25,-11800694040,S18,-4874226600,S18,4920693108,W02,-11800694040,18,0.019104667,W03,2097813370,-4874226600,4920693108
18,-1118399719,S18,,28,#DIV/0!,S18,978684240,S18,-1697907851,W02,#DIV/0!,22,0.033212,W03,3649620000,978684240,-1697907851
18,62742664,S18,,28,4677366840,S18,699889680,S18,444436467,W02,4677366840,25,0.020238,W03,2222480000,699889680,444436467
18,-2978009568,S18,,28,8329593720,S18,1014120960,S18,-170636882,W02,8329593720,28,0.02386492,W03,2621441200,1014120960,-170636882
22,-1809845201,S18,,12,3495217230,W02,2841518970,W03,-6064377920,W03,3495217230,,,,,2841518970,-6064377920
22,47285351,S18,,12,4295392794,W02,4098533300,W03,249302970,W03,4295392794,,,,,4098533300,249302970
22,-791846445,S18,,12,4015341461,W02,5577050340,W03,187571850,W03,4015341461,,,,,5577050340,187571850
22,125741840,S18,,15,-73094539,W02,1815081690,W03,-1353795120,W03,-73094539,,,,,1815081690,-1353795120
22,505288225,S18,,15,#DIV/0!,W02,3519678870,W03,-2137758630,W03,#DIV/0!,,,,,3519678870,-2137758630
22,61237536,S18,,15,-81052814,W02,1085000,W03,-3518456080,W03,-81052814,,,,,1085000,-3518456080
